[2020/1/2 - 20:36:44] Registros: El administrador Lucas Becerra le otorgo a Templario un puesto en el Staff nivel 5.
[2020/1/6 - 23:30:51] Registros: El administrador Lucas Becerra le otorgo a Ismael Takanashi un puesto en el Staff nivel 5.
[2020/1/24 - 16:28:13] Registros: El administrador Annie Foster le otorgo a Annie Foster un puesto en el Staff nivel 0.
[2020/2/7 - 12:27:30] Registros: El administrador Lucas Becerra le otorgo a Rodrigo Morgan un puesto en el Staff nivel 5.
[2020/2/8 - 5:42:54] Registros: El administrador Lucas Becerra le otorgo a Ismael Takanashi un puesto en el Staff nivel 5.
[2020/3/5 - 4:0:42] Registros: El administrador Lucas Becerra le otorgo a Noah Brown un puesto en el Staff nivel 5.
[2020/3/7 - 4:5:15] Registros: El administrador Patricia Valor le otorgo a Maximo Rothwell un puesto en el Staff nivel 10.
[2020/3/7 - 4:14:16] Registros: El administrador Patricia Valor le otorgo a Jacob Rothwell un puesto en el Staff nivel 1.
[2020/3/7 - 4:14:47] Registros: El administrador Patricia Valor le otorgo a Jacob Rothwell un puesto en el Staff nivel 4.
[2020/7/30 - 5:18:54] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 11.
[2020/8/26 - 15:3:27] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 10.
[2020/8/26 - 15:3:33] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 11.
[2021/2/9 - 20:7:10] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 2.
[2021/2/9 - 20:7:28] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 11.
[2021/2/9 - 20:24:28] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 2.
[2021/2/9 - 20:24:38] Registros: El administrador Jose Oviedo le otorgo a Jose Oviedo un puesto en el Staff nivel 11.
